,Tank,Colony,Time.point,Ramp,Coral.Watch.Color1,Coral.Watch.Color2,Coral.Watch.Color3,PAM..Fv.Fm.,RNAlater.,avgred,site,LBSP,DIN,avg.red
33,A,4,Recovery,28,6,5.5,5,0.603,,169.1,Fagatele,Low,0.3,NA
34,A,4,Recovery,28,6,5.5,5,0.646,,153.6,Coconut Point,NA,NA,NA
35,A,4,Recovery,28,6,6,6,0.677,,133.4,Cannery,High,14.6,NA
36,A,4,Stress,28,5,5,NA,0.653,,NA,Coconut Point,NA,NA,NA
37,A,4,Stress,28,5,5,NA,0.658,,153.6,Faga'alu,Medium,6.7,NA
38,A,4,Stress,28,6,5,NA,0.636,,152.5,Fagatele,Low,0.3,NA
39,A,4,Stress,28,6,5.5,NA,0.527,,100.2,Vatia,Low,4.1,100.2
40,A,4,Stress,28,6,6,NA,0.67,,96.5,Cannery,High,14.6,NA
41,A,5,Recovery,28,5,5,4.5,0.629,,171.4,Coconut Point,NA,NA,NA
42,A,5,Recovery,28,5.5,5.5,4.5,0.649,,115.9,Cannery,High,14.6,NA
43,A,5,Recovery,28,5.5,5.5,5.5,0.62,,136.1,Faga'alu,Medium,6.7,NA
44,A,5,Recovery,28,6,6,5.5,0.65,,122.8,Vatia,Low,4.1,122.8
45,A,5,Recovery,28,6,6,5.5,0.587,,169,Fagatele,Low,0.3,NA
46,A,5,Stress,28,5,5,NA,0.636,,NA,Coconut Point,NA,NA,NA
47,A,5,Stress,28,6,5.5,NA,0.61,,157.7,Faga'alu,Medium,6.7,NA
48,A,5,Stress,28,6,6,NA,0.644,,83.6,Vatia,Low,4.1,83.6
49,A,5,Stress,28,6,6,NA,0.653,,97.8,Cannery,High,14.6,NA
50,A,5,Stress,28,6,6,NA,0.593,,83.8,Fagatele,Low,0.3,NA
51,A,6,Recovery,28,5.5,6,4.5,0.65,,165.6,Fagatele,Low,0.3,NA
52,A,6,Recovery,28,6,5.5,5,0.639,,140.3,Cannery,High,14.6,NA
53,A,6,Recovery,28,6,6,5,0.619,,153,Faga'alu,Medium,6.7,NA
54,A,6,Recovery,28,6,6,5.5,0.676,,114.5,Vatia,Low,4.1,114.5
55,A,6,Recovery,28,4.5,4.5,3.5,0.653,,209.3,Coconut Point,NA,NA,NA
56,A,6,Stress,28,5.5,5.5,NA,0.663,,NA,Coconut Point,NA,NA,NA
57,A,6,Stress,28,5.5,5.5,NA,0.665,,137.5,Faga'alu,Medium,6.7,NA
58,A,6,Stress,28,6,6,NA,0.665,,79.4,Fagatele,Low,0.3,NA
59,A,6,Stress,28,6,6,NA,0.665,,134.5,Cannery,High,14.6,NA
60,A,6,Stress,28,6,6,NA,0.672,,86,Vatia,Low,4.1,86
61,A,7,Recovery,28,5,4.5,3.5,0.611,,175.5,Vatia,Low,4.1,175.5
62,A,7,Recovery,28,6,5.5,5,0.665,,181.5,Coconut Point,NA,NA,NA
63,A,7,Recovery,28,6,5.5,5.5,0.633,,152.1,Faga'alu,Medium,6.7,NA
64,A,7,Recovery,28,6,6,5.5,0.64,,154.2,Fagatele,Low,0.3,NA
65,A,7,Recovery,28,6,6,6,0.663,,125.5,Cannery,High,14.6,NA
66,A,7,Stress,28,5.5,5.5,NA,0.65,,136.7,Cannery,High,14.6,NA
67,A,7,Stress,28,5.5,6,NA,0.586,,144.5,Faga'alu,Medium,6.7,NA
68,A,7,Stress,28,6,5.5,NA,0.641,,87.9,Fagatele,Low,0.3,NA
69,A,7,Stress,28,6,5.5,NA,0.658,,NA,Coconut Point,NA,NA,NA
70,A,7,Stress,28,6,6,NA,0.626,,113.5,Vatia,Low,4.1,113.5
71,A,8,Recovery,28,5.5,5,5,0.639,,155.9,Vatia,Low,4.1,155.9
