Tank,Colony,Time.point,Ramp,Coral.Watch.Color1,Coral.Watch.Color2,Coral.Watch.Color3,PAM..Fv.Fm.,Site,LBSP,pop2016,AverageRed
A,5,Recovery,28,6,6,5.5,0.587,Faga'tele,Low,0,169
A,5,Stress,28,5,5,NA,0.636,Coconut Point,High,6707,NA
A,5,Stress,28,6,5.5,NA,0.61,Faga'alu,Medium,910,157.7
A,5,Stress,28,6,6,NA,0.644,Vatia,Low,640,83.6
A,5,Stress,28,6,6,NA,0.653,Cannery,High,9276,97.8
A,5,Stress,28,6,6,NA,0.593,Faga'tele,Low,0,83.8
A,6,Recovery,28,5.5,6,4.5,0.65,Faga'tele,Low,0,165.6
A,6,Recovery,28,6,5.5,5,0.639,Cannery,High,9276,140.3
A,6,Recovery,28,6,6,5,0.619,Faga'alu,Medium,910,153
A,6,Recovery,28,6,6,5.5,0.676,Vatia,Low,640,114.5
A,6,Recovery,28,4.5,4.5,3.5,0.653,Coconut Point,High,6707,209.3
A,6,Stress,28,5.5,5.5,NA,0.663,Coconut Point,High,6707,NA
A,6,Stress,28,5.5,5.5,NA,0.665,Faga'alu,Medium,910,137.5
A,6,Stress,28,6,6,NA,0.665,Cannery,High,9276,134.5
A,6,Stress,28,6,6,NA,0.665,Faga'tele,Low,0,79.4
A,6,Stress,28,6,6,NA,0.672,Vatia,Low,640,86
A,7,Recovery,28,5,4.5,3.5,0.611,Vatia,Low,640,175.5
A,7,Recovery,28,6,5.5,5,0.665,Coconut Point,High,6707,181.5
A,7,Recovery,28,6,5.5,5.5,0.633,Faga'alu,Medium,910,152.1
A,7,Recovery,28,6,6,5.5,0.64,Faga'tele,Low,0,154.2
A,7,Recovery,28,6,6,6,0.663,Cannery,High,9276,125.5
A,7,Stress,28,5.5,5.5,NA,0.65,Cannery,High,9276,136.7
A,7,Stress,28,5.5,6,NA,0.586,Faga'alu,Medium,910,144.5
A,7,Stress,28,6,5.5,NA,0.641,Faga'tele,Low,0,87.9
A,7,Stress,28,6,5.5,NA,0.658,Coconut Point,High,6707,NA
A,7,Stress,28,6,6,NA,0.626,Vatia,Low,640,113.5
A,8,Recovery,28,5.5,5,5,0.639,Vatia,Low,640,155.9
A,8,Recovery,28,5.5,5.5,4.5,0.624,Faga'alu,Medium,910,146.8
A,8,Recovery,28,6,6,4.5,0.659,Faga'tele,Low,0,151
A,8,Recovery,28,6,6,5,0.633,Coconut Point,High,6707,137.2
A,8,Recovery,28,6,6,5.5,0.636,Cannery,High,9276,99.8
A,8,Stress,28,5,5,NA,0.631,Vatia,Low,640,101.5
A,8,Stress,28,6,5.5,NA,0.606,Coconut Point,High,6707,NA
A,8,Stress,28,6,6,NA,0.64,Faga'alu,Medium,910,89.4
A,8,Stress,28,6,6,NA,0.669,Faga'tele,Low,0,99.5
A,8,Stress,28,6,6,NA,0.685,Cannery,High,9276,110.8
B,1,Recovery,33,5.5,5,3.5,0.612,Coconut Point,High,6707,188.6
B,1,Recovery,33,5.5,5.5,2.5,0.609,Vatia,Low,640,183.2
B,1,Recovery,33,6,6,2.5,0.614,Faga'tele,Low,0,243.5
B,1,Recovery,33,6,6,4.5,0.645,Cannery,High,9276,125.4
B,1,Recovery,33,6,6,5.5,0.649,Faga'alu,Medium,910,142.3
B,1,Stress,33,5,5,NA,0.62,Vatia,Low,640,88.3
B,1,Stress,33,5.5,5.5,NA,0.648,Coconut Point,High,6707,NA
B,1,Stress,33,6,5,NA,0.627,Cannery,High,9276,100.4
B,1,Stress,33,6,5.5,NA,0.52,Faga'alu,Medium,910,153.1
B,1,Stress,33,6,6,NA,0.622,Faga'tele,Low,0,66.2
B,2,Recovery,33,5.5,5,3.5,0.633,Faga'alu,Medium,910,177.4
B,2,Recovery,33,6,5,3.5,0.598,Coconut Point,High,6707,201.5
B,2,Recovery,33,6,5.5,3.5,0.633,Cannery,High,9276,206.3
B,2,Recovery,33,6,6,2,0.64,Vatia,Low,640,228.2
B,2,Recovery,33,6,6,2.5,0.645,Faga'tele,Low,0,211
B,2,Stress,33,5.5,4.5,NA,0.658,Coconut Point,High,6707,NA
B,2,Stress,33,5.5,5,NA,0.629,Faga'alu,Medium,910,156.7
B,2,Stress,33,6,5.5,NA,0.672,Cannery,High,9276,114.5
B,2,Stress,33,6,6,NA,0.617,Vatia,Low,640,75.3
B,2,Stress,33,6,6,NA,0.637,Faga'tele,Low,0,95
