"Colony","Time.point","Site","LBSP","pop2016","DIN","Rep","28","33","34","35","Field","t35_normalizedto28","t34_normalizedto28","t33_normalizedto28"
5,"Stress","Coconut Point","High",6707,48.8,"1",0.636,0.647,0.631,0.605,NA,-0.031,-0.005,0.011
5,"Stress","Faga'alu","Medium",910,6.7,"1",0.61,0.596,0.608,0.64,NA,0.03,-0.002,-0.014
5,"Stress","Faga'tele","Low",0,0.3,"1",0.593,0.616,0.609,0.657,NA,0.0640000000000001,0.016,0.023
5,"Stress","Vatia","Low",640,4.1,"1",0.644,0.658,0.611,0.655,NA,0.011,-0.033,0.014
6,"Recovery","Cannery","High",9276,5.4,"1",0.639,0.676,0.641,0.654,NA,0.015,0.002,0.037
6,"Recovery","Cannery","High",9276,5.4,"2",0.668,0.665,0.657,0.631,NA,-0.037,-0.011,-0.003
6,"Recovery","Coconut Point","High",6707,48.8,"1",0.653,0.648,0.659,0.649,NA,-0.004,0.00600000000000001,-0.005
6,"Recovery","Coconut Point","High",6707,48.8,"2",0.678,0.674,0.617,0.638,NA,-0.04,-0.0610000000000001,-0.004
6,"Recovery","Faga'alu","Medium",910,6.7,"1",0.619,0.605,0.624,0.637,NA,0.018,0.005,-0.014
6,"Recovery","Faga'alu","Medium",910,6.7,"2",0.653,0.629,0.639,0.672,NA,0.019,-0.014,-0.024
6,"Recovery","Faga'tele","Low",0,0.3,"1",0.65,0.608,0.646,0.651,NA,0.001,-0.004,-0.042
6,"Recovery","Faga'tele","Low",0,0.3,"2",0.619,0.651,0.614,0.605,NA,-0.014,-0.005,0.032
6,"Recovery","Vatia","Low",640,4.1,"1",0.676,0.61,0.657,0.647,NA,-0.029,-0.019,-0.0660000000000001
6,"Recovery","Vatia","Low",640,4.1,"2",0.642,0.638,0.627,0.588,NA,-0.054,-0.015,-0.004
6,"Stress","Cannery","High",9276,5.4,"1",0.665,0.667,0.626,0.658,NA,-0.00700000000000001,-0.039,0.002
