"","Tank","Colony","Time.point","Ramp","Coral.Watch.Color1","Coral.Watch.Color2","Coral.Watch.Color3","PAM..Fv.Fm.","Site","LBSP","pop2016","DIN","AverageRed"
"296","D",6,"Stress","35","5","4",NA,"0.654","Coconut Point","High","6707","48.8",NA
"297","D",6,"Stress","35","5.5","5",NA,"0.597","Faga'alu","Medium","910","6.7",173.9
"298","D",6,"Stress","35","6","5.5",NA,"0.658","Cannery","High","9276","5.4",98.3
"299","D",6,"Stress","35","6","6",NA,"0.614","Faga'tele","Low","0","0.3",92.2
"300","D",6,"Stress","35","6","6",NA,"0.632","Vatia","Low","640","4.1",81.9
"301","D",7,"Recovery","35","5","5","2","0.647","Vatia","Low","640","4.1",231
"302","D",7,"Recovery","35","6","5.5","3","0.625","Coconut Point","High","6707","48.8",208
"303","D",7,"Recovery","35","6","5.5","4","0.663","Cannery","High","9276","5.4",164.9
"304","D",7,"Recovery","35","6","5.5","1","0","Faga'alu","Medium","910","6.7",221.4
"305","D",7,"Recovery","35","6","6","2","0.611","Faga'tele","Low","0","0.3",250.5
"306","D",7,"Stress","35","5.5","5",NA,"0.632","Coconut Point","High","6707","48.8",NA
"307","D",7,"Stress","35","5.5","5",NA,"0.6","Vatia","Low","640","4.1",133.8
"308","D",7,"Stress","35","6","5",NA,"0.582","Faga'alu","Medium","910","6.7",147.1
"309","D",7,"Stress","35","6","5.5",NA,"0.617","Faga'tele","Low","0","0.3",105.2
"310","D",7,"Stress","35","6","6",NA,"0.657","Cannery","High","9276","5.4",119.6
"311","D",8,"Recovery","35","5","5","3.5","0.64","Coconut Point","High","6707","48.8",217.2
"312","D",8,"Recovery","35","6","5.5","2","0.647","Faga'alu","Medium","910","6.7",201.3
"313","D",8,"Recovery","35","6","6","3","0.617","Faga'tele","Low","0","0.3",220.5
"314","D",8,"Recovery","35","6","6","4.5","0.638","Vatia","Low","640","4.1",179.9
"315","D",8,"Recovery","35","6","6","5","0.65","Cannery","High","9276","5.4",139.8
"316","D",8,"Stress","35","5.5","5",NA,"0.565","Cannery","High","9276","5.4",128.5
"317","D",8,"Stress","35","5.5","5",NA,"0.647","Coconut Point","High","6707","48.8",NA
"318","D",8,"Stress","35","5.5","5.5",NA,"0.665","Vatia","Low","640","4.1",103.9
"319","D",8,"Stress","35","6","5.5",NA,"0.61","Faga'alu","Medium","910","6.7",115.7
"320","D",8,"Stress","35","6","6",NA,"0.619","Faga'tele","Low","0","0.3",116.4
"321","E",1,"Recovery","28","5.5","5","5","0.62","Coconut Point","High","6707","48.8",140.2
"322","E",1,"Recovery","28","5.5","5.5","5","0.656","Faga'tele","Low","0","0.3",162.1
"323","E",1,"Recovery","28","5.5","5.5","5","0.623","Faga'alu","Medium","910","6.7",158.1
"324","E",1,"Recovery","28","6","6","5","0.615","Cannery","High","9276","5.4",153.5
"325","E",1,"Recovery","28","6","6","5","0.616","Vatia","Low","640","4.1",164.4
"326","E",1,"Stress","28","5.5","5",NA,NA,"Coconut Point","High","6707","48.8",NA
"327","E",1,"Stress","28","5.5","6",NA,NA,"Vatia","Low","640","4.1",89.3
"328","E",1,"Stress","28","6","5.5",NA,NA,"Cannery","High","9276","5.4",118.3
"329","E",1,"Stress","28","6","6",NA,NA,"Faga'alu","Medium","910","6.7",123.5
"330","E",1,"Stress","28","6","6",NA,NA,"Faga'tele","Low","0","0.3",114.1
"331","E",2,"Recovery","28","5","4.5","4.5","0.599","Faga'alu","Medium","910","6.7",164.9
"332","E",2,"Recovery","28","5.5","5","5","0.627","Coconut Point","High","6707","48.8",169.6
"333","E",2,"Recovery","28","5.5","6","5","0.662","Vatia","Low","640","4.1",189.2
"334","E",2,"Recovery","28","6","6","5","0.624","Cannery","High","9276","5.4",141.3
"335","E",2,"Recovery","28","6","6","6","0.651","Faga'tele","Low","0","0.3",150.8
"336","E",2,"Stress","28","5","4",NA,NA,"Faga'alu","Medium","910","6.7",181.6
"337","E",2,"Stress","28","5.5","5.5",NA,NA,"Vatia","Low","640","4.1",122.5
"338","E",2,"Stress","28","6","5.5",NA,NA,"Faga'tele","Low","0","0.3",90
"339","E",2,"Stress","28","6","6",NA,NA,"Cannery","High","9276","5.4",107.4
"340","E",2,"Stress","28","6","6",NA,NA,"Coconut Point","High","6707","48.8",NA
"341","E",3,"Recovery","28","6","6","4.5","0.66","Coconut Point","High","6707","48.8",211.2
"342","E",3,"Recovery","28","6","6","5","0.624","Vatia","Low","640","4.1",171.4
"343","E",3,"Recovery","28","6","6","5.5","0.62","Faga'tele","Low","0","0.3",184.9
"344","E",3,"Recovery","28","6","6","5.5","0.679","Faga'alu","Medium","910","6.7",154.9
"345","E",3,"Recovery","28","6","6","6","0.681","Cannery","High","9276","5.4",81.3
"346","E",3,"Stress","28","6","4.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"347","E",3,"Stress","28","6","5.5",NA,NA,"Faga'alu","Medium","910","6.7",116.9
"348","E",3,"Stress","28","6","6",NA,NA,"Cannery","High","9276","5.4",108.5
"349","E",3,"Stress","28","6","6",NA,NA,"Faga'tele","Low","0","0.3",49.9
"350","E",3,"Stress","28","6","6",NA,NA,"Vatia","Low","640","4.1",117.7
"351","E",4,"Recovery","28","6","5.5","5","0.617","Faga'tele","Low","0","0.3",178.4
"352","E",4,"Recovery","28","6","5.5","5.5","0.663","Coconut Point","High","6707","48.8",172.6
"353","E",4,"Recovery","28","6","6","4","0.661","Faga'alu","Medium","910","6.7",185.3
"354","E",4,"Recovery","28","6","6","4.5","0.609","Vatia","Low","640","4.1",167.8
"355","E",4,"Recovery","28","6","6","6","0.666","Cannery","High","9276","5.4",135.6
"356","E",4,"Stress","28","5.5","5.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"357","E",4,"Stress","28","5.5","6",NA,NA,"Vatia","Low","640","4.1",93
"358","E",4,"Stress","28","6","5.5",NA,NA,"Faga'alu","Medium","910","6.7",156.5
"359","E",4,"Stress","28","6","6",NA,NA,"Cannery","High","9276","5.4",98.8
"360","E",4,"Stress","28","6","6",NA,NA,"Faga'tele","Low","0","0.3",119.2
"361","E",5,"Recovery","28","6","5.5","5","0.636","Faga'alu","Medium","910","6.7",148
"362","E",5,"Recovery","28","6","6","4","0.662","Faga'tele","Low","0","0.3",198
"363","E",5,"Recovery","28","6","6","5","0.688","Cannery","High","9276","5.4",124.6
"364","E",5,"Recovery","28","6","6","5.5","0.627","Vatia","Low","640","4.1",161.9
"365","E",5,"Recovery","28","4.5","5","5","0.647","Coconut Point","High","6707","48.8",170
"366","E",5,"Stress","28","5.5","5.5",NA,NA,"Cannery","High","9276","5.4",132.9
"367","E",5,"Stress","28","5.5","5.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"368","E",5,"Stress","28","6","6",NA,NA,"Faga'alu","Medium","910","6.7",134.7
"369","E",5,"Stress","28","6","6",NA,NA,"Faga'tele","Low","0","0.3",73
"370","E",5,"Stress","28","6","6",NA,NA,"Vatia","Low","640","4.1",77.5
"371","E",6,"Recovery","28","5.5","5.5","4.5","0.668","Cannery","High","9276","5.4",173.4
"372","E",6,"Recovery","28","5.5","5.5","5","0.619","Faga'tele","Low","0","0.3",165.2
"373","E",6,"Recovery","28","6","5.5","5","0.653","Faga'alu","Medium","910","6.7",159
"374","E",6,"Recovery","28","6","6","5.5","0.642","Vatia","Low","640","4.1",153.4
"375","E",6,"Recovery","28","6","6","6","0.678","Coconut Point","High","6707","48.8",85.6
"376","E",6,"Stress","28","5","5",NA,NA,"Coconut Point","High","6707","48.8",NA
"377","E",6,"Stress","28","5.5","5.5",NA,NA,"Cannery","High","9276","5.4",138.7
"378","E",6,"Stress","28","5.5","6",NA,NA,"Faga'tele","Low","0","0.3",105.6
"379","E",6,"Stress","28","6","6",NA,NA,"Faga'alu","Medium","910","6.7",132.4
"380","E",6,"Stress","28","6","6",NA,NA,"Vatia","Low","640","4.1",68.4
"381","E",7,"Recovery","28","5","5","4","0.688","Vatia","Low","640","4.1",178.1
"382","E",7,"Recovery","28","6","5.5","4.5","0.667","Coconut Point","High","6707","48.8",222
"383","E",7,"Recovery","28","6","6","5","0.67","Faga'alu","Medium","910","6.7",171.6
"384","E",7,"Recovery","28","6","6","5.5","0.656","Cannery","High","9276","5.4",131.1
"385","E",7,"Recovery","28","6","6","6","0.638","Faga'tele","Low","0","0.3",123.7
"386","E",7,"Stress","28","5.5","5.5",NA,NA,"Cannery","High","9276","5.4",130.1
"387","E",7,"Stress","28","6","5.5",NA,NA,"Faga'alu","Medium","910","6.7",169.7
"388","E",7,"Stress","28","6","5.5",NA,NA,"Vatia","Low","640","4.1",111.2
"389","E",7,"Stress","28","6","6",NA,NA,"Coconut Point","High","6707","48.8",NA
"390","E",7,"Stress","28","6","6",NA,NA,"Faga'tele","Low","0","0.3",64.8
"391","E",8,"Recovery","28","6","5.5","5.5","0.67","Coconut Point","High","6707","48.8",157.2
"392","E",8,"Recovery","28","6","6","4.5","0.636","Faga'alu","Medium","910","6.7",175.8
"393","E",8,"Recovery","28","6","6","5","0.643","Faga'tele","Low","0","0.3",207.6
"394","E",8,"Recovery","28","6","6","5","0.666","Vatia","Low","640","4.1",167.7
"395","E",8,"Recovery","28","6","6","5.5","0.66","Cannery","High","9276","5.4",97.1
"396","E",8,"Stress","28","5.5","5.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"397","E",8,"Stress","28","6","6",NA,NA,"Cannery","High","9276","5.4",83.4
"398","E",8,"Stress","28","6","6",NA,NA,"Faga'alu","Medium","910","6.7",140.7
"399","E",8,"Stress","28","6","6",NA,NA,"Faga'tele","Low","0","0.3",67
"400","E",8,"Stress","28","6","6",NA,NA,"Vatia","Low","640","4.1",93.9
"401","F",1,"Recovery","33","5.5","4.5","4","0.659","Coconut Point","High","6707","48.8",184.2
"402","F",1,"Recovery","33","5.5","5.5","4","0.66","Cannery","High","9276","5.4",123.7
"403","F",1,"Recovery","33","6","6","3.5","0.604","Faga'tele","Low","0","0.3",213.5
"404","F",1,"Recovery","33","6","6","4.5","0.642","Vatia","Low","640","4.1",186.1
"405","F",1,"Recovery","33","6","6","5","0.658","Faga'alu","Medium","910","6.7",135
"406","F",1,"Stress","33","5.5","5",NA,NA,"Cannery","High","9276","5.4",139.3
"407","F",1,"Stress","33","5.5","3.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"408","F",1,"Stress","33","6","5.5",NA,NA,"Faga'alu","Medium","910","6.7",135.9
"409","F",1,"Stress","33","6","6",NA,NA,"Faga'tele","Low","0","0.3",99.5
"410","F",1,"Stress","33","6","6",NA,NA,"Vatia","Low","640","4.1",101.6
"411","F",2,"Recovery","33","5.5","4","3.5","0.605","Faga'alu","Medium","910","6.7",162.3
"412","F",2,"Recovery","33","5.5","5","3","0.662","Coconut Point","High","6707","48.8",174.5
"413","F",2,"Recovery","33","6","6","4","0.627","Faga'tele","Low","0","0.3",201.7
"414","F",2,"Recovery","33","6","6","4","0.621","Vatia","Low","640","4.1",185.7
"415","F",2,"Recovery","33","6","6","4.5","0.599","Cannery","High","9276","5.4",174.1
"416","F",2,"Stress","33","5.5","4.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"417","F",2,"Stress","33","6","5",NA,NA,"Faga'alu","Medium","910","6.7",160
"418","F",2,"Stress","33","6","5.5",NA,NA,"Faga'tele","Low","0","0.3",116.8
"419","F",2,"Stress","33","6","6",NA,NA,"Cannery","High","9276","5.4",139.2
"420","F",2,"Stress","33","6","6",NA,NA,"Vatia","Low","640","4.1",72.9
"421","F",3,"Recovery","33","5","5","4","0.625","Vatia","Low","640","4.1",167
"422","F",3,"Recovery","33","6","4","3","0.667","Coconut Point","High","6707","48.8",194.3
"423","F",3,"Recovery","33","6","5","1","0.63","Faga'alu","Medium","910","6.7",231.5
"424","F",3,"Recovery","33","6","5.5","4","0.657","Faga'tele","Low","0","0.3",219.8
"425","F",3,"Recovery","33","6","5.5","5","0.654","Cannery","High","9276","5.4",56.9
"426","F",3,"Stress","33","5.5","6",NA,NA,"Vatia","Low","640","4.1",114.8
"427","F",3,"Stress","33","6","5.5",NA,NA,"Cannery","High","9276","5.4",131
"428","F",3,"Stress","33","6","5.5",NA,NA,"Faga'alu","Medium","910","6.7",141.6
"429","F",3,"Stress","33","6","6",NA,NA,"Faga'tele","Low","0","0.3",81.5
"430","F",3,"Stress","33","6","3.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"431","F",4,"Recovery","33","5","4.5","1.5","0.638","Faga'alu","Medium","910","6.7",218.3
"432","F",4,"Recovery","33","5.5","5.5","2.5","0.641","Vatia","Low","640","4.1",203.5
"433","F",4,"Recovery","33","6","5.5","3.5","0.646","Coconut Point","High","6707","48.8",166.6
"434","F",4,"Recovery","33","6","5.5","4.5","0.647","Cannery","High","9276","5.4",141.2
"435","F",4,"Recovery","33","6","6","4.5","0.631","Faga'tele","Low","0","0.3",214.4
"436","F",4,"Stress","33","6","5.5",NA,NA,"Faga'alu","Medium","910","6.7",157.7
"437","F",4,"Stress","33","6","5.5",NA,NA,"Vatia","Low","640","4.1",130.9
"438","F",4,"Stress","33","6","6",NA,NA,"Cannery","High","9276","5.4",76.2
"439","F",4,"Stress","33","6","6",NA,NA,"Coconut Point","High","6707","48.8",NA
"440","F",4,"Stress","33","6","6",NA,NA,"Faga'tele","Low","0","0.3",127.4
"441","F",5,"Recovery","33","5.5","6","4","0.639","Vatia","Low","640","4.1",193.2
"442","F",5,"Recovery","33","6","5.5","3.5","0.682","Coconut Point","High","6707","48.8",167.8
"443","F",5,"Recovery","33","6","5.5","4.5","0.638","Faga'alu","Medium","910","6.7",138.6
"444","F",5,"Recovery","33","6","6","4","0.686","Cannery","High","9276","5.4",123.3
"445","F",5,"Recovery","33","6","6","5","0.558","Faga'tele","Low","0","0.3",149.8
"446","F",5,"Stress","33","5.5","5.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"447","F",5,"Stress","33","6","5.5",NA,NA,"Cannery","High","9276","5.4",118.8
"448","F",5,"Stress","33","6","6",NA,NA,"Faga'alu","Medium","910","6.7",118
"449","F",5,"Stress","33","6","6",NA,NA,"Faga'tele","Low","0","0.3",81.9
"450","F",5,"Stress","33","6","6",NA,NA,"Vatia","Low","640","4.1",120.9
"451","F",6,"Recovery","33","5","3.5","3.5","0.674","Coconut Point","High","6707","48.8",179.3
"452","F",6,"Recovery","33","6","5","4","0.665","Cannery","High","9276","5.4",181.9
"453","F",6,"Recovery","33","6","5.5","3.5","0.651","Faga'tele","Low","0","0.3",200.3
"454","F",6,"Recovery","33","6","5.5","5","0.629","Faga'alu","Medium","910","6.7",164.8
"455","F",6,"Recovery","33","6","6","5.5","0.638","Vatia","Low","640","4.1",147
"456","F",6,"Stress","33","5","3",NA,NA,"Coconut Point","High","6707","48.8",NA
"457","F",6,"Stress","33","6","5.5",NA,NA,"Cannery","High","9276","5.4",149.1
"458","F",6,"Stress","33","6","5.5",NA,NA,"Faga'alu","Medium","910","6.7",138.8
"459","F",6,"Stress","33","6","5.5",NA,NA,"Faga'tele","Low","0","0.3",102.6
"460","F",6,"Stress","33","6","6",NA,NA,"Vatia","Low","640","4.1",96.1
"461","F",7,"Recovery","33","5.5","5.5","4.5","0.627","Faga'tele","Low","0","0.3",177.2
"462","F",7,"Recovery","33","6","5.5","3","0.674","Faga'alu","Medium","910","6.7",179
"463","F",7,"Recovery","33","6","6","2.5","0.644","Coconut Point","High","6707","48.8",237
"464","F",7,"Recovery","33","6","6","5.5","0.627","Cannery","High","9276","5.4",68.4
"465","F",7,"Recovery","33","6","6","5.5","0.617","Vatia","Low","640","4.1",136.1
"466","F",7,"Stress","33","5","5",NA,NA,"Vatia","Low","640","4.1",105.8
"467","F",7,"Stress","33","5.5","5",NA,NA,"Faga'alu","Medium","910","6.7",161.9
"468","F",7,"Stress","33","6","5.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"469","F",7,"Stress","33","6","6",NA,NA,"Cannery","High","9276","5.4",121
"470","F",7,"Stress","33","6","6",NA,NA,"Faga'tele","Low","0","0.3",76.6
"471","F",8,"Recovery","33","6","5","5.5","0.65","Cannery","High","9276","5.4",159.3
"472","F",8,"Recovery","33","6","5.5","4.5","0.615","Coconut Point","High","6707","48.8",167.7
"473","F",8,"Recovery","33","6","6","3","0.633","Faga'alu","Medium","910","6.7",190.9
"474","F",8,"Recovery","33","6","6","4.5","0.654","Faga'tele","Low","0","0.3",228.7
"475","F",8,"Recovery","33","6","6","5.5","0.66","Vatia","Low","640","4.1",135.6
"476","F",8,"Stress","33","5.5","5",NA,NA,"Cannery","High","9276","5.4",138.3
"477","F",8,"Stress","33","5.5","5.5",NA,NA,"Vatia","Low","640","4.1",112.9
"478","F",8,"Stress","33","6","5",NA,NA,"Coconut Point","High","6707","48.8",NA
"479","F",8,"Stress","33","6","5.5",NA,NA,"Faga'alu","Medium","910","6.7",119.4
"480","F",8,"Stress","33","6","6",NA,NA,"Faga'tele","Low","0","0.3",84.5
"481","FieldCont",1,NA,"Field","5",NA,NA,"0.636","Vatia","Low","640","4.1",123.7
"482","FieldCont",1,NA,"Field","5",NA,NA,"0.643","Coconut Point","High","6707","48.8",121.3
"483","FieldCont",1,NA,"Field","5",NA,NA,"0.643","Faga'alu","Medium","910","6.7",NA
"484","FieldCont",1,NA,"Field","5",NA,NA,"0.697","Cannery","High","9276","5.4",70.6
"485","FieldCont",1,NA,"Field","6",NA,NA,"0.601","Faga'tele","Low","0","0.3",82.9
"486","FieldCont",2,NA,"Field","5.5",NA,NA,"0.691","Cannery","High","9276","5.4",91.3
"487","FieldCont",2,NA,"Field","6",NA,NA,"0.66","Coconut Point","High","6707","48.8",120
"488","FieldCont",2,NA,"Field","6",NA,NA,"0.664","Vatia","Low","640","4.1",89.1
"489","FieldCont",2,NA,"Field","6",NA,NA,"0.621","Faga'tele","Low","0","0.3",48.9
"490","FieldCont",2,NA,"Field","4",NA,NA,"0.621","Faga'alu","Medium","910","6.7",NA
"491","FieldCont",3,NA,"Field","5",NA,NA,"0.66","Cannery","High","9276","5.4",131.7
"492","FieldCont",3,NA,"Field","5",NA,NA,"0.661","Coconut Point","High","6707","48.8",154.5
"493","FieldCont",3,NA,"Field","5.5",NA,NA,"0.656","Faga'tele","Low","0","0.3",113.1
"494","FieldCont",3,NA,"Field","5.5",NA,NA,"0.62","Vatia","Low","640","4.1",145.8
"495","FieldCont",3,NA,"Field","6",NA,NA,"0.651","Faga'alu","Medium","910","6.7",NA
"496","FieldCont",4,NA,"Field","5",NA,NA,"0.645","Vatia","Low","640","4.1",107.2
"497","FieldCont",4,NA,"Field","5.5",NA,NA,"0.698","Faga'alu","Medium","910","6.7",NA
"498","FieldCont",4,NA,"Field","6",NA,NA,"0.641","Coconut Point","High","6707","48.8",153.8
"499","FieldCont",4,NA,"Field","6",NA,NA,"0.684","Cannery","High","9276","5.4",49.1
"500","FieldCont",4,NA,"Field","6",NA,NA,"0.642","Faga'tele","Low","0","0.3",89.5
"501","FieldCont",5,NA,"Field","5",NA,NA,"0.611","Vatia","Low","640","4.1",98.7
"502","FieldCont",5,NA,"Field","6",NA,NA,"0.628","Cannery","High","9276","5.4",82.4
"503","FieldCont",5,NA,"Field","6",NA,NA,"0.667","Faga'tele","Low","0","0.3",68.9
"504","FieldCont",5,NA,"Field","6",NA,NA,"0.669","Faga'alu","Medium","910","6.7",NA
"505","FieldCont",5,NA,"Field","4",NA,NA,"0.632","Coconut Point","High","6707","48.8",176.6
"506","FieldCont",6,NA,"Field","5",NA,NA,"0.631","Faga'alu","Medium","910","6.7",NA
"507","FieldCont",6,NA,"Field","5",NA,NA,"0.64","Coconut Point","High","6707","48.8",147.1
"508","FieldCont",6,NA,"Field","5.5",NA,NA,"0.686","Cannery","High","9276","5.4",84.8
"509","FieldCont",6,NA,"Field","6",NA,NA,"0.639","Faga'tele","Low","0","0.3",108.6
"510","FieldCont",6,NA,"Field","6",NA,NA,"0.656","Vatia","Low","640","4.1",97
"511","FieldCont",7,NA,"Field","5.5",NA,NA,"0.628","Vatia","Low","640","4.1",130.6
"512","FieldCont",7,NA,"Field","6",NA,NA,"0.628","Cannery","High","9276","5.4",98.6
"513","FieldCont",7,NA,"Field","6",NA,NA,"0.643","Coconut Point","High","6707","48.8",138.3
"514","FieldCont",7,NA,"Field","6",NA,NA,"0.653","Faga'tele","Low","0","0.3",79.7
"515","FieldCont",7,NA,"Field","4.5",NA,NA,"0.696","Faga'alu","Medium","910","6.7",NA
"516","FieldCont",8,NA,"Field","5",NA,NA,"0.613","Coconut Point","High","6707","48.8",132.2
"517","FieldCont",8,NA,"Field","5.5",NA,NA,"0.664","Faga'tele","Low","0","0.3",101.6
"518","FieldCont",8,NA,"Field","5.5",NA,NA,"0.665","Vatia","Low","640","4.1",95.1
"519","FieldCont",8,NA,"Field","5.5",NA,NA,"0.681","Faga'alu","Medium","910","6.7",NA
"520","FieldCont",8,NA,"Field","6",NA,NA,"0.68","Cannery","High","9276","5.4",55.9
"521","G",1,"Recovery","34","5.5","4","2.5","0.662","Coconut Point","High","6707","48.8",182.4
"522","G",1,"Recovery","34","5.5","5.5","2","0.657","Cannery","High","9276","5.4",200.7
"523","G",1,"Recovery","34","5.5","5.5","2.5","0.593","Faga'alu","Medium","910","6.7",188.8
"524","G",1,"Recovery","34","6","5.5","2.5","0.583","Faga'tele","Low","0","0.3",228.7
"525","G",1,"Recovery","34","6","6","2.5","0.623","Vatia","Low","640","4.1",202.8
"526","G",1,"Stress","34","5.5","4",NA,NA,"Coconut Point","High","6707","48.8",NA
"527","G",1,"Stress","34","5.5","5",NA,NA,"Cannery","High","9276","5.4",143.2
"528","G",1,"Stress","34","5.5","5",NA,NA,"Faga'tele","Low","0","0.3",140
"529","G",1,"Stress","34","5.5","5.5",NA,NA,"Vatia","Low","640","4.1",90.2
"530","G",1,"Stress","34","6","5",NA,NA,"Faga'alu","Medium","910","6.7",150.4
"531","G",2,"Recovery","34","5.5","4","1","0","Faga'alu","Medium","910","6.7",208
"532","G",2,"Recovery","34","6","5","2","0.655","Coconut Point","High","6707","48.8",216
"533","G",2,"Recovery","34","6","6","2","0.626","Vatia","Low","640","4.1",215.1
"534","G",2,"Recovery","34","6","6","2.5","0.644","Cannery","High","9276","5.4",180
"535","G",2,"Recovery","34","6","6","4.5","0.633","Faga'tele","Low","0","0.3",205.5
"536","G",2,"Stress","34","5.5","4",NA,NA,"Faga'alu","Medium","910","6.7",187.1
"537","G",2,"Stress","34","6","5",NA,NA,"Coconut Point","High","6707","48.8",NA
"538","G",2,"Stress","34","6","6",NA,NA,"Cannery","High","9276","5.4",110
"539","G",2,"Stress","34","6","6",NA,NA,"Faga'tele","Low","0","0.3",99.8
"540","G",2,"Stress","34","6","6",NA,NA,"Vatia","Low","640","4.1",82.8
"541","G",3,"Recovery","34","5.5","6","1.5","0.631","Vatia","Low","640","4.1",237.9
"542","G",3,"Recovery","34","6","4.5","2","0.662","Coconut Point","High","6707","48.8",210.5
"543","G",3,"Recovery","34","6","5.5","1","0.636","Faga'alu","Medium","910","6.7",220.4
"544","G",3,"Recovery","34","6","6","3","0.628","Cannery","High","9276","5.4",198.7
"545","G",3,"Recovery","34","6","6","3.5","0.57","Faga'tele","Low","0","0.3",206.7
"546","G",3,"Stress","34","5","4",NA,NA,"Coconut Point","High","6707","48.8",NA
"547","G",3,"Stress","34","5.5","5",NA,NA,"Faga'alu","Medium","910","6.7",139.5
"548","G",3,"Stress","34","6","5.5",NA,NA,"Cannery","High","9276","5.4",129.9
"549","G",3,"Stress","34","6","5.5",NA,NA,"Vatia","Low","640","4.1",106
"550","G",3,"Stress","34","6","6",NA,NA,"Faga'tele","Low","0","0.3",105.8
"551","G",4,"Recovery","34","5.5","5","1","0.592","Coconut Point","High","6707","48.8",246.1
"552","G",4,"Recovery","34","6","4","1","0","Faga'alu","Medium","910","6.7",218.4
"553","G",4,"Recovery","34","6","6","1.5","0.608","Vatia","Low","640","4.1",210.5
"554","G",4,"Recovery","34","6","6","2.5","0.625","Cannery","High","9276","5.4",192.3
"555","G",4,"Recovery","34","6","6","4.5","0.642","Faga'tele","Low","0","0.3",239
"556","G",4,"Stress","34","5.5","4",NA,NA,"Coconut Point","High","6707","48.8",NA
"557","G",4,"Stress","34","5.5","5",NA,NA,"Faga'tele","Low","0","0.3",141.8
"558","G",4,"Stress","34","5.5","5",NA,NA,"Vatia","Low","640","4.1",100.8
"559","G",4,"Stress","34","5.5","3.5",NA,NA,"Faga'alu","Medium","910","6.7",171
"560","G",4,"Stress","34","6","5.5",NA,NA,"Cannery","High","9276","5.4",123.1
"561","G",5,"Recovery","34","6","5","1.5","0.656","Faga'alu","Medium","910","6.7",190.5
"562","G",5,"Recovery","34","6","5.5","1.5","0.661","Cannery","High","9276","5.4",211.8
"563","G",5,"Recovery","34","6","6","2","0.641","Vatia","Low","640","4.1",204.4
"564","G",5,"Recovery","34","6","6","3","0.578","Faga'tele","Low","0","0.3",216.9
"565","G",5,"Recovery","34","4.5","3.5","1.5","0.647","Coconut Point","High","6707","48.8",231.2
"566","G",5,"Stress","34","5.5","5",NA,NA,"Cannery","High","9276","5.4",129.1
"567","G",5,"Stress","34","6","4.5",NA,NA,"Coconut Point","High","6707","48.8",NA
"568","G",5,"Stress","34","6","6",NA,NA,"Faga'alu","Medium","910","6.7",131.2
"569","G",5,"Stress","34","6","6",NA,NA,"Faga'tele","Low","0","0.3",71.5
"570","G",5,"Stress","34","6","6",NA,NA,"Vatia","Low","640","4.1",65.2
"571","G",6,"Recovery","34","5.5","4.5","1.5","0.617","Coconut Point","High","6707","48.8",235.5
"572","G",6,"Recovery","34","5.5","5.5","1.5","0.639","Faga'alu","Medium","910","6.7",202.9
"573","G",6,"Recovery","34","5.5","5.5","2","0.614","Faga'tele","Low","0","0.3",230
"574","G",6,"Recovery","34","6","5.5","2","0.657","Cannery","High","9276","5.4",193.8
"575","G",6,"Recovery","34","6","5.5","5","0.627","Vatia","Low","640","4.1",161.1
"576","G",6,"Stress","34","5","5",NA,NA,"Coconut Point","High","6707","48.8",NA
"577","G",6,"Stress","34","6","4.5",NA,NA,"Cannery","High","9276","5.4",135.4
"578","G",6,"Stress","34","6","5.5",NA,NA,"Faga'alu","Medium","910","6.7",154.2
"579","G",6,"Stress","34","6","6",NA,NA,"Faga'tele","Low","0","0.3",78.4
"580","G",6,"Stress","34","6","6",NA,NA,"Vatia","Low","640","4.1",58.5
"581","G",7,"Recovery","34","5.5","5","2","0.611","Faga'tele","Low","0","0.3",247.8
"582","G",7,"Recovery","34","5.5","5.5","3","0.608","Vatia","Low","640","4.1",210.4
"583","G",7,"Recovery","34","6","5","1.5","0","Faga'alu","Medium","910","6.7",235.6
"584","G",7,"Recovery","34","6","5.5","2","0.629","Cannery","High","9276","5.4",200.1
"585","G",7,"Recovery","34","6","5.5","2","0.641","Coconut Point","High","6707","48.8",231.4
"586","G",7,"Stress","34","5.5","5",NA,NA,"Cannery","High","9276","5.4",151.3
"587","G",7,"Stress","34","5.5","5.5",NA,NA,"Vatia","Low","640","4.1",141
"588","G",7,"Stress","34","6","5",NA,NA,"Coconut Point","High","6707","48.8",NA
"589","G",7,"Stress","34","6","5",NA,NA,"Faga'alu","Medium","910","6.7",156
"590","G",7,"Stress","34","6","5.5",NA,NA,"Faga'tele","Low","0","0.3",125.5
"591","G",8,"Recovery","34","5.5","5","4.5","0.597","Coconut Point","High","6707","48.8",207.9
"592","G",8,"Recovery","34","6","5","2","0.642","Faga'alu","Medium","910","6.7",212.5
"593","G",8,"Recovery","34","6","5.5","2","0.63","Vatia","Low","640","4.1",202.6
"594","G",8,"Recovery","34","6","5.5","3","0.596","Faga'tele","Low","0","0.3",209.7
