"","Tank","Colony","Time.point","Ramp","Coral.Watch.Color1","Coral.Watch.Color2","Coral.Watch.Color3","PAM..Fv.Fm.","Site","LBSP","pop2016","DIN","AverageRed"
"54","A",6,"Recovery","28","6","6","5.5","0.676","Vatia","Low","640","4.1",114.5
"55","A",6,"Recovery","28","4.5","4.5","3.5","0.653","Coconut Point","High","6707","48.8",209.3
"56","A",6,"Stress","28","5.5","5.5",NA,"0.663","Coconut Point","High","6707","48.8",NA
"57","A",6,"Stress","28","5.5","5.5",NA,"0.665","Faga'alu","Medium","910","6.7",137.5
"58","A",6,"Stress","28","6","6",NA,"0.665","Cannery","High","9276","5.4",134.5
"59","A",6,"Stress","28","6","6",NA,"0.665","Faga'tele","Low","0","0.3",79.4
"60","A",6,"Stress","28","6","6",NA,"0.672","Vatia","Low","640","4.1",86
"61","A",7,"Recovery","28","5","4.5","3.5","0.611","Vatia","Low","640","4.1",175.5
"62","A",7,"Recovery","28","6","5.5","5","0.665","Coconut Point","High","6707","48.8",181.5
"63","A",7,"Recovery","28","6","5.5","5.5","0.633","Faga'alu","Medium","910","6.7",152.1
"64","A",7,"Recovery","28","6","6","5.5","0.64","Faga'tele","Low","0","0.3",154.2
"65","A",7,"Recovery","28","6","6","6","0.663","Cannery","High","9276","5.4",125.5
"66","A",7,"Stress","28","5.5","5.5",NA,"0.65","Cannery","High","9276","5.4",136.7
"67","A",7,"Stress","28","5.5","6",NA,"0.586","Faga'alu","Medium","910","6.7",144.5
"68","A",7,"Stress","28","6","5.5",NA,"0.641","Faga'tele","Low","0","0.3",87.9
"69","A",7,"Stress","28","6","5.5",NA,"0.658","Coconut Point","High","6707","48.8",NA
"70","A",7,"Stress","28","6","6",NA,"0.626","Vatia","Low","640","4.1",113.5
"71","A",8,"Recovery","28","5.5","5","5","0.639","Vatia","Low","640","4.1",155.9
"72","A",8,"Recovery","28","5.5","5.5","4.5","0.624","Faga'alu","Medium","910","6.7",146.8
"73","A",8,"Recovery","28","6","6","4.5","0.659","Faga'tele","Low","0","0.3",151
"74","A",8,"Recovery","28","6","6","5","0.633","Coconut Point","High","6707","48.8",137.2
"75","A",8,"Recovery","28","6","6","5.5","0.636","Cannery","High","9276","5.4",99.8
"76","A",8,"Stress","28","5","5",NA,"0.631","Vatia","Low","640","4.1",101.5
"77","A",8,"Stress","28","6","5.5",NA,"0.606","Coconut Point","High","6707","48.8",NA
"78","A",8,"Stress","28","6","6",NA,"0.64","Faga'alu","Medium","910","6.7",89.4
"79","A",8,"Stress","28","6","6",NA,"0.669","Faga'tele","Low","0","0.3",99.5
"80","A",8,"Stress","28","6","6",NA,"0.685","Cannery","High","9276","5.4",110.8
"81","B",1,"Recovery","33","5.5","5","3.5","0.612","Coconut Point","High","6707","48.8",188.6
"82","B",1,"Recovery","33","5.5","5.5","2.5","0.609","Vatia","Low","640","4.1",183.2
"83","B",1,"Recovery","33","6","6","2.5","0.614","Faga'tele","Low","0","0.3",243.5
"84","B",1,"Recovery","33","6","6","4.5","0.645","Cannery","High","9276","5.4",125.4
"85","B",1,"Recovery","33","6","6","5.5","0.649","Faga'alu","Medium","910","6.7",142.3
