"Colony","Time.point","Site","LBSP","pop2016","DIN","Rep","28","33","34","35","t35_normalizedto28","t34_normalizedto28","t33_normalizedto28"
7,"Recovery","Faga'alu","Medium",910,6.7,"2",171.6,179,235.6,204.3,32.7,64,7.40000000000001
7,"Recovery","Faga'tele","Low",0,0.3,"1",154.2,182.6,214.3,250.5,96.3,60.1,28.4
7,"Recovery","Faga'tele","Low",0,0.3,"2",123.7,177.2,247.8,216,92.3,124.1,53.5
7,"Recovery","Vatia","Low",640,4.1,"1",175.5,240.2,222.6,231,55.5,47.1,64.7
7,"Recovery","Vatia","Low",640,4.1,"2",178.1,136.1,210.4,241.3,63.2,32.3,-42
8,"Recovery","Cannery","High",9276,5.4,"1",99.8,104.2,206.4,139.8,40,106.6,4.40000000000001
8,"Recovery","Cannery","High",9276,5.4,"2",97.1,159.3,174.8,215.4,118.3,77.7,62.2
8,"Recovery","Coconut Point","High",6707,48.8,"1",137.2,186.4,176.3,217.2,80,39.1,49.2
8,"Recovery","Coconut Point","High",6707,48.8,"2",157.2,167.7,207.9,167,9.80000000000001,50.7,10.5
8,"Recovery","Faga'alu","Medium",910,6.7,"1",146.8,216.5,190.9,201.3,54.5,44.1,69.7
8,"Recovery","Faga'alu","Medium",910,6.7,"2",175.8,190.9,212.5,144.6,-31.2,36.7,15.1
8,"Recovery","Faga'tele","Low",0,0.3,"1",151,245.3,201.5,220.5,69.5,50.5,94.3
8,"Recovery","Faga'tele","Low",0,0.3,"2",207.6,228.7,209.7,212.5,4.90000000000001,2.09999999999999,21.1
8,"Recovery","Vatia","Low",640,4.1,"1",155.9,200.4,168.4,179.9,24,12.5,44.5
8,"Recovery","Vatia","Low",640,4.1,"2",167.7,135.6,202.6,200.4,32.7,34.9,-32.1
